iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
72,Bootstrap,Gower (prop→z),2,1.467857225615895,0.17334458842498177,0.115,17,3
73,Bootstrap,Jaccard (incidence),2,1.663711096146754,0.20379348026316366,0.11,16,3
73,Bootstrap,Gower (sqrt→z),2,6.677279842340061,0.5067267237419685,0.001,16,3
73,Bootstrap,Gower (prop→z),2,1.5313101119337542,0.19066753625393884,0.085,16,3
74,Bootstrap,Jaccard (incidence),2,1.4234158140407085,0.16898320651202625,0.165,17,3
74,Bootstrap,Gower (sqrt→z),2,6.250732890570084,0.4717273332872355,0.001,17,3
74,Bootstrap,Gower (prop→z),2,1.2043107390300034,0.14678999581290714,0.257,17,3
75,Bootstrap,Jaccard (incidence),2,2.4125884290919704,0.2706944731361021,0.012,16,3
75,Bootstrap,Gower (sqrt→z),2,7.186297977491568,0.5250724475902926,0.001,16,3
75,Bootstrap,Gower (prop→z),2,2.4297181098673577,0.27209348380017884,0.001,16,3
76,Bootstrap,Jaccard (incidence),2,2.2930983329604637,0.2341545295468567,0.02,18,3
76,Bootstrap,Gower (sqrt→z),2,9.220915820966562,0.5514599750214844,0.001,18,3
76,Bootstrap,Gower (prop→z),2,2.609704007800958,0.2581385177832338,0.001,18,3
77,Bootstrap,Jaccard (incidence),2,2.1759085959303115,0.26613660982137266,0.023,15,3
77,Bootstrap,Gower (sqrt→z),2,7.6450022008599365,0.5602785612140195,0.001,15,3
77,Bootstrap,Gower (prop→z),2,2.090702459177006,0.25840802695760906,0.018,15,3
78,Bootstrap,Jaccard (incidence),2,2.3430482027491677,0.26495933857069226,0.012,16,3
78,Bootstrap,Gower (sqrt→z),2,8.814791179133294,0.5755737101491545,0.001,16,3
78,Bootstrap,Gower (prop→z),2,2.380961394928243,0.2680972576108671,0.006,16,3
79,Bootstrap,Jaccard (incidence),2,1.6351111855242217,0.16970340601578224,0.085,19,3
79,Bootstrap,Gower (sqrt→z),2,7.731923978566311,0.4914798716991348,0.001,19,3
79,Bootstrap,Gower (prop→z),2,1.613507654095752,0.16783755858438737,0.07,19,3
80,Bootstrap,Jaccard (incidence),2,1.6794754454272114,0.21869663590463914,0.082,15,3
80,Bootstrap,Gower (sqrt→z),2,8.112096135521266,0.5748328283494666,0.001,15,3
80,Bootstrap,Gower (prop→z),2,2.4667169827688102,0.2913427941183098,0.002,15,3
81,Bootstrap,Jaccard (incidence),2,2.8541681658398206,0.27565402841883635,0.005,18,3
81,Bootstrap,Gower (sqrt→z),2,9.125971448129889,0.5488985396493262,0.001,18,3
81,Bootstrap,Gower (prop→z),2,2.5641945170955736,0.25478387890256865,0.001,18,3
82,Bootstrap,Jaccard (incidence),2,1.800187784031729,0.18368911123977918,0.057,19,3
82,Bootstrap,Gower (sqrt→z),2,7.940394973485349,0.4981303779920827,0.001,19,3
82,Bootstrap,Gower (prop→z),2,1.4778502291074609,0.15592673374061444,0.114,19,3
83,Bootstrap,Jaccard (incidence),2,1.4489850097764954,0.17149811582099453,0.166,17,3
83,Bootstrap,Gower (sqrt→z),2,7.057954859772659,0.5020612834637314,0.001,17,3
83,Bootstrap,Gower (prop→z),2,1.3142939160468396,0.15807643190364157,0.2,17,3
84,Bootstrap,Jaccard (incidence),2,2.5828803155568725,0.2561649285444505,0.004,18,3
84,Bootstrap,Gower (sqrt→z),2,8.973945603009732,0.5447356583094596,0.001,18,3
84,Bootstrap,Gower (prop→z),2,1.704849616565687,0.1852121096576658,0.065,18,3
85,Bootstrap,Jaccard (incidence),2,2.5528368621522874,0.2672333777902623,0.009,17,3
85,Bootstrap,Gower (sqrt→z),2,8.358530985219923,0.5442272436904051,0.001,17,3
85,Bootstrap,Gower (prop→z),2,2.793197419658573,0.2852181264161581,0.003,17,3
86,Bootstrap,Jaccard (incidence),2,1.7671788914805595,0.22751875760437199,0.095,15,3
86,Bootstrap,Gower (sqrt→z),2,7.067501657768616,0.5408456675853561,0.001,15,3
86,Bootstrap,Gower (prop→z),2,1.6509570965885743,0.21578438824662952,0.061,15,3
87,Bootstrap,Jaccard (incidence),2,2.8742013133152953,0.2910819034486823,0.005,17,3
87,Bootstrap,Gower (sqrt→z),2,8.655701017848243,0.5528785333841219,0.001,17,3
87,Bootstrap,Gower (prop→z),2,2.8160805421772066,0.2868844168583604,0.001,17,3
88,Bootstrap,Jaccard (incidence),2,2.313504350013265,0.2624954000289094,0.018,16,3
88,Bootstrap,Gower (sqrt→z),2,7.49673870032577,0.5356061051672905,0.001,16,3
88,Bootstrap,Gower (prop→z),2,2.225078740991927,0.255021049900458,0.007,16,3
89,Bootstrap,Jaccard (incidence),2,1.5918980672181073,0.1750897398374801,0.129,18,3
89,Bootstrap,Gower (sqrt→z),2,8.307710204159772,0.5255479823999818,0.001,18,3
89,Bootstrap,Gower (prop→z),2,1.480151618861513,0.1648247915717445,0.086,18,3
90,Bootstrap,Jaccard (incidence),2,1.6208159089684264,0.18801189192339154,0.124,17,3
90,Bootstrap,Gower (sqrt→z),2,6.858419114073816,0.4948918817954349,0.001,17,3
90,Bootstrap,Gower (prop→z),2,1.5185950826038381,0.17826825525549653,0.075,17,3
91,Bootstrap,Jaccard (incidence),2,1.4198782743397764,0.15918135098596645,0.164,18,3
91,Bootstrap,Gower (sqrt→z),2,7.236950188895428,0.49107516115163413,0.001,18,3
91,Bootstrap,Gower (prop→z),2,1.3312324803837419,0.15074141501095398,0.171,18,3
92,Bootstrap,Jaccard (incidence),2,2.452753307576723,0.2739663680335027,0.013,16,3
92,Bootstrap,Gower (sqrt→z),2,8.22831423343827,0.5586731857443132,0.001,16,3
92,Bootstrap,Gower (prop→z),2,2.5872009892648262,0.2847082387988577,0.004,16,3
93,Bootstrap,Jaccard (incidence),2,2.1091074886746464,0.26009119889214327,0.029,15,3
93,Bootstrap,Gower (sqrt→z),2,8.354522439835009,0.5820132627087965,0.001,15,3
93,Bootstrap,Gower (prop→z),2,2.299253471648525,0.27704340872382255,0.006,15,3
94,Bootstrap,Jaccard (incidence),2,1.927740271570701,0.18486654072372008,0.039,20,3
94,Bootstrap,Gower (sqrt→z),2,8.67202389098987,0.5050088414761678,0.001,20,3
94,Bootstrap,Gower (prop→z),2,1.5919922095956707,0.15774806168419075,0.076,20,3
95,Bootstrap,Jaccard (incidence),2,1.5138424125434513,0.16794640323829305,0.122,18,3
95,Bootstrap,Gower (sqrt→z),2,7.493495529899982,0.49978309027114315,0.001,18,3
95,Bootstrap,Gower (prop→z),2,1.4531013590575932,0.16230145295825704,0.092,18,3
96,Bootstrap,Jaccard (incidence),2,1.6208626962197796,0.16847373748059494,0.068,19,3
96,Bootstrap,Gower (sqrt→z),2,6.4904720590585505,0.44791308610274766,0.001,19,3
96,Bootstrap,Gower (prop→z),2,1.675295636338101,0.1731518807597042,0.047,19,3
97,Bootstrap,Jaccard (incidence),2,1.3431548245921592,0.16098884089182855,0.187,17,3
97,Bootstrap,Gower (sqrt→z),2,5.86657263004096,0.45595457304174747,0.001,17,3
97,Bootstrap,Gower (prop→z),2,1.3796108161730793,0.16463900847404028,0.134,17,3
98,Bootstrap,Jaccard (incidence),2,1.9867367458547105,0.2094225653223515,0.029,18,3
98,Bootstrap,Gower (sqrt→z),2,7.466429813523157,0.49887848381694505,0.001,18,3
98,Bootstrap,Gower (prop→z),2,1.4019917702812774,0.15749191938839305,0.128,18,3
99,Bootstrap,Jaccard (incidence),2,1.890659077506641,0.19115602536603268,0.026,19,3
99,Bootstrap,Gower (sqrt→z),2,9.152639481428137,0.5335994784556669,0.001,19,3
99,Bootstrap,Gower (prop→z),2,1.499300177254819,0.15783269812283146,0.105,19,3
100,Bootstrap,Jaccard (incidence),2,1.7325139595790904,0.16142666723790003,0.062,21,3
