iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
40,Rarefied,Jaccard (incidence),2,2.3219191808627766,0.43629358168613774,0.079,9,3
40,Rarefied,Gower (sqrt→z),2,5.7649312951196965,0.6577269234648313,0.018,9,3
40,Rarefied,Gower (prop→z),2,2.4605428259542523,0.4506040707636539,0.035,9,3
41,Rarefied,Jaccard (incidence),2,1.1406276046931634,0.2754721538832248,0.373,9,3
41,Rarefied,Gower (sqrt→z),2,4.194761776232918,0.5830299746810018,0.011,9,3
41,Rarefied,Gower (prop→z),2,1.2690528514412243,0.2972680113371738,0.272,9,3
42,Rarefied,Jaccard (incidence),2,1.9217418350471633,0.39045969891444904,0.069,9,3
42,Rarefied,Gower (sqrt→z),2,5.359679995530583,0.6411345886919214,0.008,9,3
42,Rarefied,Gower (prop→z),2,1.668671508385751,0.35741891572121215,0.078,9,3
43,Rarefied,Jaccard (incidence),2,2.2422568907620435,0.4277273963268322,0.1,9,3
43,Rarefied,Gower (sqrt→z),2,4.725334819226365,0.6116673166664863,0.018,9,3
43,Rarefied,Gower (prop→z),2,2.2465046460460902,0.42819072841937106,0.047,9,3
44,Rarefied,Jaccard (incidence),2,2.8627381843674846,0.48829371094904817,0.024,9,3
44,Rarefied,Gower (sqrt→z),2,5.265680846913756,0.6370534919552161,0.003,9,3
44,Rarefied,Gower (prop→z),2,2.7180617076592877,0.47534669029864973,0.008,9,3
45,Rarefied,Jaccard (incidence),2,2.327318337428181,0.43686488961568576,0.019,9,3
45,Rarefied,Gower (sqrt→z),2,6.2523943944295315,0.6757596064207801,0.005,9,3
45,Rarefied,Gower (prop→z),2,2.284465771999381,0.4322983382925862,0.022,9,3
46,Rarefied,Jaccard (incidence),2,1.7962243472415151,0.37450799153600695,0.11,9,3
46,Rarefied,Gower (sqrt→z),2,4.738602780817743,0.6123331194312849,0.007,9,3
46,Rarefied,Gower (prop→z),2,1.707745304021008,0.3627522717854719,0.072,9,3
47,Rarefied,Jaccard (incidence),2,1.7324676473653349,0.36608124480889725,0.059,9,3
47,Rarefied,Gower (sqrt→z),2,4.260982348905986,0.5868327650662847,0.009,9,3
47,Rarefied,Gower (prop→z),2,1.8701562928880267,0.3840033420732406,0.029,9,3
48,Rarefied,Jaccard (incidence),2,1.9023261550759618,0.3880456124091738,0.045,9,3
48,Rarefied,Gower (sqrt→z),2,4.923843264750343,0.6213958429307068,0.004,9,3
48,Rarefied,Gower (prop→z),2,1.9532949383362135,0.39434254625514287,0.05,9,3
49,Rarefied,Jaccard (incidence),2,2.0806741534259374,0.40952717899118235,0.019,9,3
49,Rarefied,Gower (sqrt→z),2,4.982207761756799,0.6241641298322042,0.005,9,3
49,Rarefied,Gower (prop→z),2,1.9393429856043927,0.392631771321928,0.047,9,3
50,Rarefied,Jaccard (incidence),2,2.177525407034616,0.4205726164232915,0.061,9,3
50,Rarefied,Gower (sqrt→z),2,5.66592602942471,0.6538165696529542,0.003,9,3
50,Rarefied,Gower (prop→z),2,2.7227829919649533,0.47577952820993985,0.01,9,3
51,Rarefied,Jaccard (incidence),2,2.9204102957285474,0.49327836245328516,0.021,9,3
51,Rarefied,Gower (sqrt→z),2,5.2802704971819745,0.6376929955342655,0.001,9,3
51,Rarefied,Gower (prop→z),2,2.869035607754003,0.4888427672790936,0.012,9,3
52,Rarefied,Jaccard (incidence),2,1.8363107747007916,0.37969246813226115,0.142,9,3
52,Rarefied,Gower (sqrt→z),2,3.601003581321237,0.545523652117224,0.008,9,3
52,Rarefied,Gower (prop→z),2,0.9554054597659121,0.24154425367619692,0.462,9,3
53,Rarefied,Jaccard (incidence),2,3.161597192577431,0.5131132551777402,0.018,9,3
53,Rarefied,Gower (sqrt→z),2,4.957365023863444,0.6229907775999641,0.003,9,3
53,Rarefied,Gower (prop→z),2,2.137963115105411,0.41611102828276114,0.028,9,3
54,Rarefied,Jaccard (incidence),2,2.2560034639025486,0.4292241204551035,0.097,9,3
54,Rarefied,Gower (sqrt→z),2,5.03478330602644,0.6266234090283596,0.013,9,3
54,Rarefied,Gower (prop→z),2,2.263807424355327,0.4300703353775488,0.029,9,3
55,Rarefied,Jaccard (incidence),2,3.4274189980119245,0.5332496604114444,0.008,9,3
55,Rarefied,Gower (sqrt→z),2,6.299955981032632,0.6774178279855804,0.002,9,3
55,Rarefied,Gower (prop→z),2,2.0291948375406745,0.40348304312922,0.017,9,3
56,Rarefied,Jaccard (incidence),2,1.2666627563854447,0.2968743556049209,0.292,9,3
56,Rarefied,Gower (sqrt→z),2,4.365201961196123,0.5926791938896413,0.011,9,3
56,Rarefied,Gower (prop→z),2,1.575251454454511,0.3442983342305329,0.139,9,3
57,Rarefied,Jaccard (incidence),2,1.5956009750216789,0.3472018096641108,0.155,9,3
57,Rarefied,Gower (sqrt→z),2,5.871343270878119,0.661832497244462,0.014,9,3
57,Rarefied,Gower (prop→z),2,1.6761733496554967,0.3584497888169573,0.097,9,3
58,Rarefied,Jaccard (incidence),2,1.791920277241296,0.3739461788944667,0.138,9,3
58,Rarefied,Gower (sqrt→z),2,5.073628520363238,0.62841986196994,0.013,9,3
58,Rarefied,Gower (prop→z),2,1.9440403182530466,0.3932088318689043,0.097,9,3
59,Rarefied,Jaccard (incidence),2,2.0123495344554505,0.4014782928888608,0.1,9,3
59,Rarefied,Gower (sqrt→z),2,4.461008604322139,0.5979095911694687,0.021,9,3
59,Rarefied,Gower (prop→z),2,1.9876512685414571,0.3985144833758009,0.051,9,3
60,Rarefied,Jaccard (incidence),2,1.654426790916986,0.3554523178118441,0.072,9,3
60,Rarefied,Gower (sqrt→z),2,3.72715274368099,0.5540461002884189,0.004,9,3
60,Rarefied,Gower (prop→z),2,1.2635997402581376,0.29636922254377324,0.261,9,3
61,Rarefied,Jaccard (incidence),2,2.628396406877956,0.46698850202981973,0.008,9,3
61,Rarefied,Gower (sqrt→z),2,6.063963365795033,0.6690189623535776,0.003,9,3
61,Rarefied,Gower (prop→z),2,2.1249395055880886,0.4146272367256463,0.053,9,3
62,Rarefied,Jaccard (incidence),2,3.0131054633495156,0.501089741684176,0.076,9,3
62,Rarefied,Gower (sqrt→z),2,4.886926816225879,0.619623705163834,0.005,9,3
62,Rarefied,Gower (prop→z),2,2.3063150711244007,0.4346359083867396,0.059,9,3
63,Rarefied,Jaccard (incidence),2,1.114757534138388,0.27091694343827566,0.407,9,3
63,Rarefied,Gower (sqrt→z),2,3.871365605799379,0.5634055627213282,0.008,9,3
63,Rarefied,Gower (prop→z),2,1.3891069686408242,0.3164896591870919,0.133,9,3
64,Rarefied,Jaccard (incidence),2,2.1947840870934905,0.42249765347254015,0.113,9,3
64,Rarefied,Gower (sqrt→z),2,4.706996439727997,0.6107433001349775,0.02,9,3
64,Rarefied,Gower (prop→z),2,2.0217655461751005,0.4026005450841899,0.085,9,3
65,Rarefied,Jaccard (incidence),2,2.294764430328579,0.4334025546413539,0.094,9,3
65,Rarefied,Gower (sqrt→z),2,4.606093030961734,0.6055793706719003,0.023,9,3
65,Rarefied,Gower (prop→z),2,2.178323538490896,0.4206619231686166,0.042,9,3
66,Rarefied,Jaccard (incidence),2,2.928619566958006,0.49398001235904737,0.032,9,3
66,Rarefied,Gower (sqrt→z),2,5.2538592189033615,0.6365336601417597,0.004,9,3
66,Rarefied,Gower (prop→z),2,2.1124906730437467,0.4132018634639512,0.027,9,3
67,Rarefied,Jaccard (incidence),2,1.7578630413835077,0.36946482614017195,0.142,9,3
67,Rarefied,Gower (sqrt→z),2,5.230374552897595,0.6354965401976975,0.026,9,3
67,Rarefied,Gower (prop→z),2,2.2935749519724995,0.4332752389040726,0.037,9,3
68,Rarefied,Jaccard (incidence),2,1.960390968529486,0.3952089625529349,0.106,9,3
68,Rarefied,Gower (sqrt→z),2,5.8701257317725855,0.6617860793952367,0.025,9,3
68,Rarefied,Gower (prop→z),2,2.5772630121488516,0.46210175251460195,0.028,9,3
69,Rarefied,Jaccard (incidence),2,1.9270690701755078,0.3911187447808325,0.137,9,3
69,Rarefied,Gower (sqrt→z),2,5.154559786939351,0.6321076700173427,0.014,9,3
69,Rarefied,Gower (prop→z),2,1.4734143309425192,0.32937130834292305,0.16,9,3
70,Rarefied,Jaccard (incidence),2,2.3273366549197405,0.4368668258970398,0.014,9,3
70,Rarefied,Gower (sqrt→z),2,5.11022166162939,0.6300964233575236,0.003,9,3
70,Rarefied,Gower (prop→z),2,2.438217724665412,0.4483486774732662,0.027,9,3
71,Rarefied,Jaccard (incidence),2,1.6036308158952521,0.34834044692686766,0.146,9,3
71,Rarefied,Gower (sqrt→z),2,5.327343626261195,0.6397410585364619,0.012,9,3
71,Rarefied,Gower (prop→z),2,1.798173443540653,0.3747620765900764,0.062,9,3
72,Rarefied,Jaccard (incidence),2,2.75654837131396,0.47885437479347787,0.003,9,3
72,Rarefied,Gower (sqrt→z),2,6.295768978182174,0.6772725304338768,0.006,9,3
72,Rarefied,Gower (prop→z),2,2.214036615072498,0.42463004741321964,0.011,9,3
73,Rarefied,Jaccard (incidence),2,1.7038757685762425,0.3622280545670041,0.151,9,3
73,Rarefied,Gower (sqrt→z),2,4.679958743015788,0.6093729015499957,0.014,9,3
