metric,test,p
gower,adonis_p,0.004
gower,permdisp_p,0.005
gower,adonis_p,0.002
gower,permdisp_p,0.007
gower,adonis_p,0.002
gower,permdisp_p,0.013
gower,adonis_p,0.002
gower,permdisp_p,0.012
gower,adonis_p,0.003
gower,permdisp_p,0.009
gower,adonis_p,0.017
gower,permdisp_p,0.004
gower,adonis_p,0.008
gower,permdisp_p,0.001
gower,adonis_p,0.003
gower,permdisp_p,0.014
gower,adonis_p,0.001
gower,permdisp_p,0.004
gower,adonis_p,0.004
gower,permdisp_p,0.009
gower,adonis_p,0.001
gower,permdisp_p,0.001
gower,adonis_p,0.003
gower,permdisp_p,0.002
gower,adonis_p,0.001
gower,permdisp_p,0.009
gower,adonis_p,0.003
gower,permdisp_p,0.003
gower,adonis_p,0.002
gower,permdisp_p,0.004
gower,adonis_p,0.001
gower,permdisp_p,0.006
gower,adonis_p,0.003
gower,permdisp_p,0.001
gower,adonis_p,0.004
gower,permdisp_p,0.009
gower,adonis_p,0.001
gower,permdisp_p,0.008
gower,adonis_p,0.001
gower,permdisp_p,0.01
gower,adonis_p,0.001
gower,permdisp_p,0.006
gower,adonis_p,0.002
