species,metric,slope,r_squared,p_value,error
Pascula muricata,delta_max_height,0.12654607783270697,0.0752394479979026,0.4431170792857917,NA
Pascula muricata,delta_interstitial,16.074596305827036,0.01304034714754526,0.7534319547739099,NA
Pascula muricata,size_corrected_volume_growth,0.04326143398737309,0.2168180431976424,0.17501836810659777,NA
Cellana taitensis,delta_surface_area,-189.3369010833336,0.04503942309886772,0.46636855990602566,NA
Cellana taitensis,delta_volume,-680.4050688000003,0.14907631143706482,0.17270490818788553,NA
Cellana taitensis,delta_max_height,-0.13041325091666878,0.0014730332955229615,0.8963584473854918,NA
Cellana taitensis,delta_interstitial,20.88233496666647,4.640607896397564e-4,0.9417300204850412,NA
Cellana taitensis,size_corrected_volume_growth,-0.4122202248213006,0.16227898924707682,0.15325758728921426,NA
Xanthias lamarckii,delta_surface_area,NA,0,NA,NA
Xanthias lamarckii,delta_volume,NA,0,NA,NA
Xanthias lamarckii,delta_max_height,NA,0,NA,NA
Xanthias lamarckii,delta_interstitial,NA,0,NA,NA
Xanthias lamarckii,size_corrected_volume_growth,NA,0,NA,NA
Menaethius monoceros,delta_surface_area,-17.484330230337164,0.006112633266675185,0.7904957099835441,NA
Menaethius monoceros,delta_volume,-1.0211511078652131,4.786426349980812e-6,0.9940776305634836,NA
Menaethius monoceros,delta_max_height,-0.030567490168539328,0.0019341510599171848,0.8813304014704311,NA
Menaethius monoceros,delta_interstitial,-43.72020573483147,0.01622821773018915,0.6642988209930704,NA
Menaethius monoceros,size_corrected_volume_growth,-0.03089881953182753,0.014155405973243095,0.6853975999944473,NA
Diala albugo,delta_surface_area,-35.124795627403,0.046209612070694246,0.29161260677785716,NA
Diala albugo,delta_volume,-46.80904710968194,0.018311372210085657,0.5098288881173421,NA
Diala albugo,delta_max_height,0.011808026075498126,3.3137480323183044e-4,0.9296676145352858,NA
Diala albugo,delta_interstitial,1.051331977560344,2.460079395811415e-5,0.9808151469901983,NA
Diala albugo,size_corrected_volume_growth,-0.024937027909118264,0.012196116197012778,0.5912204720740215,NA
Ophiolepis cincta,delta_surface_area,NA,NA,NA,Insufficient data
Ophiolepis cincta,delta_volume,NA,NA,NA,Insufficient data
Ophiolepis cincta,delta_max_height,NA,NA,NA,Insufficient data
Ophiolepis cincta,delta_interstitial,NA,NA,NA,Insufficient data
