scenario_id,scenario_type,requested_n_species,n_species_full_scope,n_species_condition_scope,species,total_count,prevalence,genus,family,abundance_rank,total_count_condition,prevalence_condition
obligate_plus_damselfish,functional_subset,27,27,26,Alpheus diadema,18,12,Alpheus,Alpheidae,35,12,8
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia tigrina,14,10,Trapezia,Trapeziidae,37,13,9
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia guttata,12,6,Trapezia,Trapeziidae,39,2,1
obligate_plus_damselfish,functional_subset,27,27,26,Paragobiodon lacunicolus,9,6,Paragobiodon,Gobiidae,43,8,5
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia bidentata,7,6,Trapezia,Trapeziidae,50,6,5
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia punctimanus,5,3,Trapezia,Trapeziidae,59,4,2
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia areolata,4,4,Trapezia,Trapeziidae,61,4,4
obligate_plus_damselfish,functional_subset,27,27,26,Pomacentrus pavo,4,2,Pomacentrus,Pomacentridae,64,4,2
obligate_plus_damselfish,functional_subset,27,27,26,Harpiliopsis depressa,4,1,Harpiliopsis,Palaemonidae,65,NA,NA
obligate_plus_damselfish,functional_subset,27,27,26,Gobiodon unicolor,3,2,Gobiodon,Gobiidae,72,3,2
obligate_plus_damselfish,functional_subset,27,27,26,Chromis atripectoralis,2,1,Chromis,Pomacentridae,85,2,1
obligate_plus_damselfish,functional_subset,27,27,26,Stegastes nigricans,1,1,Stegastes,Pomacentridae,111,1,1
obligate_plus_damselfish,functional_subset,27,27,26,Tetralia ocucaerulea,1,1,Tetralia,Tetraliidae,112,1,1
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia bella,1,1,Trapezia,Trapeziidae,114,1,1
obligate_plus_damselfish,functional_subset,27,27,26,Trapezia speciosa,1,1,Trapezia,Trapeziidae,115,1,1
top_005_by_abundance,ranked_top_N,5,5,5,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
top_005_by_abundance,ranked_top_N,5,5,5,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
top_005_by_abundance,ranked_top_N,5,5,5,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
top_005_by_abundance,ranked_top_N,5,5,5,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
top_005_by_abundance,ranked_top_N,5,5,5,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
top_010_by_abundance,ranked_top_N,10,10,10,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
top_010_by_abundance,ranked_top_N,10,10,10,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
top_010_by_abundance,ranked_top_N,10,10,10,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
top_010_by_abundance,ranked_top_N,10,10,10,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
top_010_by_abundance,ranked_top_N,10,10,10,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
top_010_by_abundance,ranked_top_N,10,10,10,Calcinus latens,224,44,Calcinus,Diogenidae,6,150,36
top_010_by_abundance,ranked_top_N,10,10,10,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
top_010_by_abundance,ranked_top_N,10,10,10,Paragobiodon modestus,156,41,Paragobiodon,Gobiidae,8,136,34
top_010_by_abundance,ranked_top_N,10,10,10,Apataxia cerithiiformis,145,37,Apataxia,Rissoinidae,9,110,29
top_010_by_abundance,ranked_top_N,10,10,10,Galathea mauritiana,130,30,Galathea,Galatheidae,10,54,21
top_015_by_abundance,ranked_top_N,15,15,15,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
top_015_by_abundance,ranked_top_N,15,15,15,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
top_015_by_abundance,ranked_top_N,15,15,15,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
top_015_by_abundance,ranked_top_N,15,15,15,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
top_015_by_abundance,ranked_top_N,15,15,15,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
top_015_by_abundance,ranked_top_N,15,15,15,Calcinus latens,224,44,Calcinus,Diogenidae,6,150,36
top_015_by_abundance,ranked_top_N,15,15,15,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
top_015_by_abundance,ranked_top_N,15,15,15,Paragobiodon modestus,156,41,Paragobiodon,Gobiidae,8,136,34
top_015_by_abundance,ranked_top_N,15,15,15,Apataxia cerithiiformis,145,37,Apataxia,Rissoinidae,9,110,29
top_015_by_abundance,ranked_top_N,15,15,15,Galathea mauritiana,130,30,Galathea,Galatheidae,10,54,21
top_015_by_abundance,ranked_top_N,15,15,15,Athanas djiboutensis,115,27,Athanas,Alpheidae,11,74,20
top_015_by_abundance,ranked_top_N,15,15,15,Dascyllus flavicaudus,113,28,Dascyllus,Pomacentridae,12,106,25
